YY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
93 04 14 03 018 00.7 01.8 00.10 06.20 05.20 999 1021.4  01.1  00.9 999.0 99.0
93 04 14 04 354 03.3 03.8 00.20 02.90 02.90 999 1021.5  01.0  01.1 999.0 99.0
93 04 14 05 357 01.8 02.1 00.20 02.70 02.90 999 1021.4  01.0  01.1 999.0 99.0
93 04 14 06 146 00.8 02.1 00.20 02.70 03.00 999 1021.1  00.9  01.0 999.0 99.0
93 04 14 07 358 01.9 02.3 00.10 02.70 03.00 999 1021.2  01.1  01.1 999.0 99.0
93 04 14 08 056 00.8 00.9 00.10 03.10 03.10 999 1020.9  01.1  01.0 999.0 99.0
93 04 14 09 071 01.9 02.2 00.10 02.60 03.10 999 1020.7  00.9  00.9 999.0 99.0
93 04 14 10 066 01.5 01.7 00.10 04.20 03.30 999 1020.3  00.8  01.0 999.0 99.0
93 04 14 11 047 01.6 01.8 99.00 99.00 99.00 999 1020.5  00.5  00.7 999.0 99.0
93 04 14 12 057 02.0 02.3 99.00 99.00 99.00 999 1020.3  00.6  00.8 999.0 99.0
93 04 14 13 057 02.4 02.8 00.00 00.00 00.00 999 1020.7  00.9  00.9 999.0 99.0
93 04 14 15 089 04.4 05.0 00.10 04.00 03.40 999 1020.3  01.4  01.1 999.0 99.0
93 04 14 16 086 04.0 04.6 00.10 03.60 03.40 999 1020.8  01.5  01.1 999.0 99.0
93 04 14 17 073 03.3 03.7 00.10 02.50 02.90 999 1021.1  01.5  01.2 999.0 99.0
93 04 14 18 078 03.8 04.5 00.10 02.50 02.90 999 1020.4  01.6  01.2 999.0 99.0
93 04 14 19 077 03.1 03.7 00.10 02.50 02.80 999 1020.4  01.5  01.2 999.0 99.0
93 04 14 20 082 03.0 03.4 00.00 00.00 00.00 999 1020.0  01.6  01.2 999.0 99.0
93 04 14 21 086 02.0 02.3 00.00 00.00 00.00 999 1019.6  01.7  01.2 999.0 99.0
93 04 14 22 073 01.6 01.8 00.00 00.00 00.00 999 1019.6  01.8  01.2 999.0 99.0
93 04 14 23 039 01.8 01.9 00.00 00.00 00.00 999 1019.6  01.5  01.2 999.0 99.0
93 04 15 00 006 02.9 03.2 00.00 00.00 00.00 999 1019.5  01.5  01.2 999.0 99.0
93 04 15 01 355 02.1 02.4 00.00 00.00 00.00 999 1019.4  01.5  01.1 999.0 99.0
93 04 15 02 003 03.1 03.6 00.00 00.00 00.00 999 1019.3  01.8  01.1 999.0 99.0
93 04 15 03 012 04.6 05.2 00.00 00.00 00.00 999 1019.0  01.7  01.1 999.0 99.0
